id	texto	clase
3236	@user Chúpame el pico	
8185	Marico que ansiedad cuando veo un tweet de Tina o de Yeta, me confundo por la foto de perfil de ambas, las odio coño	
4804	Yapo weones es solo Melipilla.	
12112	@user callate fecal de las manos negras del Sangrado Corazon alias el Borolas Sin Bolas	
2721	@user Jajajajaja justamente. Otra llegada de arg dicho sea de paso, se demoraron los colombianos parece	
8435	Chilenos residentes en peru regresan a chile	
9041	hasta cuando este conchesumare hijo de puta nos sigue cagando ? aquino perro ctm nunca mas le arbitraras a chile y a la conmebol valen callampa chupenla meando hijos de la come moco hasta cuando cagan a chile	
5298	@user @user @user Al decir Chile Sin Comunistas y los incluye a todos!!	
2588	@user @user @user Vergüenza y arrechera es lo que da estas escorias que vienen a cagarla imagen de los venezolanos de bien que vinimos a este país a trabajar honestamente... estas basuras deben quedarse en venezuela porque se merecen a los chavistas	
11990	@user @user MARACA PUTA SORRA Q M PONS ESTO EN MI TL M VOY A MATAR	
11995	Maraca qla, igual si https://t.co/Oc0D2tD5OS	
1998	@user @user está con el poto a dos manos. Vamos @user !!!!	
15147	Entiendan que tengo un puto trastorno, si no es por gusto wey	
2756	@user Si más encima ese boliviano jamás falla los penales 🤦🏾	
5194	"""¿Es normal que el 42% de los ahorros de los chilenos destinados a la jubilación vayan a financiar el crecimiento de países extranjeros en lugar del suyo propio?"" https://t.co/YwjG0hOMxK"	
14372	@user El barbijo es una farsa.	
4607	@user Dios quiera q los chilenos seamos sensatos y rechacemos la payasada que va a salir de constitución con esta gente	
5660	Llevan  dos horas mirándose el ombligo los santiaguinos culiaos, y de regiones nada. Y hablan de descentralización los patudos	
2090	Morales qliao, de nuevo la misma hueá 🤦🏻‍♂️😡	
9204	Vidal culiao, Vidal mil veces culiao.	
9593	Porque @user duda del accionar de Carabineros sin conocer cómo ocurrió el deceso de un delincuente? Porque no va a estar ajustado de derecho?	
12945	@user Es una hija de puta	
4715	@user No entienden los weones https://t.co/w9u0whfBXW	
950	@user @user @user Anda a revisarte te voy a bloquear por gil ... chaito!	
196	Los peruanos también son muy creativos, lo que les permite desarrollar nuevas ideas e inventar cosas útiles. Esto les ha permitido desarrollar una economía sólida y una sociedad moderna. Han desarrollado una larga historia de innovación y creatividad, que ha contribuido significativamente a su país.	
3933	@user Fachos only, quizás	
14805	@user Magda González totalmente la mejor información contigo, eres la mejor. Magda González eres la mujer más bonita, sensual y sexy del universo😗😗😗😗😗😗😗😗😗😗😗	
1511	Ya..... a votar por lo nuevo.. ppr tener una región inclusiva con rostro de mujer....	
